セクション,項目,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 9座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 7座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 8座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 9座 CNG,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 7座,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 9座,锐胜王牌M7 2026款 2.0L 宿营车 美途版 5座,锐胜王牌M7 2026款 2.0L 宿营车 轻旅版 5座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 改款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L CNG基本版 2座,锐胜王牌M7 2025款 2.0L CNG舒适型 6座,锐胜王牌M7 2025款 2.0L CNG舒适型 7座,锐胜王牌M7 2025款 2.0L CNG精英版 7座,锐胜王牌M7 2025款 2.0L CNG精英版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 8座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 9座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 9座,锐胜王牌M7 2025款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2025款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 8座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴盲窗基本型 2座,锐胜王牌M7 2025款 2.0L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 8/9座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 7座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 7座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 9座,锐胜王牌M7 2025款 2.0L 自动长轴至尊版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运尊贵版 7座,锐胜王牌M7 2024款 1.6L 长轴创富型 6座,锐胜王牌M7 2024款 1.6L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴创享型 9座,锐胜王牌M7 2024款 2.0L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴豪华营运版 9座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 7座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 9座,锐胜王牌M7 2024款 2.0L 长轴至尊版 7座,锐胜王牌M7 2023款 1.6L 标轴创富型 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 9座,锐胜王牌M7 2023款 1.6L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L CNG长轴豪华营运版 9座联排座椅
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,-,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",-,-,"● 电动调节
● 后视镜加热",-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动折叠
● 后视镜加热","● 电动折叠
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",-,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",-,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",-,-,-,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",-,-,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",-,-,-,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",● 电动调节,● 电动调节,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",● 电动调节,"● 电动调节
● 后视镜加热",-,-,● 电动调节,-,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",● 电动调节,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",● 电动调节,● 电动调节,"● 电动调节
● 后视镜加热"
互联/智能化,中控彩色屏幕,○ 触控液晶屏 (3000元),○ 触控液晶屏 (3000元),● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,○ 触控液晶屏 (3000元),○ 触控液晶屏 (3000元),● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,○ 触控液晶屏 (3000元),● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,○ 触控液晶屏 (3000元),○ 触控液晶屏 (3000元),● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,○ 触控液晶屏 (3000元),○ 触控液晶屏 (3000元),● 触控液晶屏,○ 触控液晶屏 (3000元),● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,○ 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-,● 触控液晶屏,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,○ 10.25英寸,○ 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,○ 10.25英寸,○ 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,○ 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,○ 10.25英寸,○ 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,○ 10.25英寸,○ 10.25英寸,● 10.25英寸,○ 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,○ 10.25英寸,○ 10.25英寸,○ 10.25英寸,○ 10.25英寸,○ 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,○ 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,○ 10.25英寸,○ 10.25英寸,○ 10.25英寸,○ 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 7英寸,● 10.25英寸,-,-,● 7英寸,-,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 7英寸,-,● 10.25英寸,● 10.25英寸,● 7英寸,● 7英寸,● 10.25英寸
互联/智能化,蓝牙/车载电话,○,○,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,○,○,●,○,●,●,●,●,●,○,○,○,○,○,●,●,●,●,●,●,●,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,●,●,-,●,●,●,●,●
互联/智能化,手机互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,●,●,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,-,-,● 原厂互联/映射,-,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,-,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射
互联/智能化,语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,●,-,-,-,-,●,●,●,-,-,●,●,-,-,●
互联/智能化,车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,Wi-Fi热点,-,-,-,●,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 皮质,● 皮质,● 塑料,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 塑料,● 塑料,● 塑料,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 塑料,● 皮质,● 塑料,● 皮质,● 塑料,● 塑料,● 皮质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,○,○,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,○,○,●,○,●,●,●,●,●,○,○,○,○,○,●,●,●,●,●,●,●,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,●,●,-,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,-,-,●
